content_id,client_id,score,action,reason_code,avg_position,impressions_90d,days_since_last_update,ctr
content_e2b8e97ea579,client_f369cb89fc,87.6,refresh_priority_1,declining_page1_review,8.0,3633,20,0.0
content_73138e49f25d,client_f369cb89fc,87.5,refresh_priority_1,declining_page1_review,2.1,9618,20,0.03
content_694bc660415b,client_f369cb89fc,87.5,refresh_priority_1,declining_page1_review,7.5,1195,20,0.0
content_5ef76f383560,client_f369cb89fc,87.4,refresh_priority_1,declining_page1_review,3.2,973,8,0.0
content_04e1e99e13d4,client_d029fa3a95,87.4,refresh_review,declining_review,10.6,1222,8,0.0
content_06531199cd40,client_d029fa3a95,87.3,refresh_priority_1,declining_page1_review,8.0,1212,8,0.0
content_0709d50aa283,client_d029fa3a95,87.3,refresh_priority_1,declining_page1_review,8.9,1127,20,0.0
content_39881853ef0c,client_f369cb89fc,87.3,refresh_priority_1,declining_page1_review,7.2,112434,20,0.01
content_8f3b70ede1bc,client_d029fa3a95,87.3,refresh_priority_1,declining_page1_review,7.7,601,20,0.0
content_fd16e3475c29,client_d029fa3a95,87.2,refresh_priority_1,declining_page1_review,9.0,429,183,0.0
content_b84a5df88090,client_f369cb89fc,87.2,refresh_priority_1,declining_page1_review,8.1,3699,20,0.03
content_085de37f9ed6,client_d029fa3a95,87.1,refresh_priority_1,declining_page1_review,7.9,700,8,0.0
content_57aca9f1a5fe,client_d029fa3a95,87.1,refresh_priority_1,declining_page1_review,9.6,1587,20,0.06
content_afa114dc512c,client_f369cb89fc,87.0,refresh_priority_1,declining_page1_review,2.2,10277,20,0.06
content_d015eb800625,client_d029fa3a95,87.0,refresh_priority_1,declining_page1_review,8.5,1064,20,0.0
content_26cf570cafdc,client_f369cb89fc,87.0,refresh_priority_1,declining_page1_review,9.1,2450,20,0.0
content_80ab8f6a154a,client_d029fa3a95,86.9,refresh_priority_1,declining_page1_review,8.0,1506,8,0.0
content_ea35d7b74f0d,client_d029fa3a95,86.9,refresh_priority_1,declining_page1_review,4.8,11905,8,0.01
content_7a6cb4857fe6,client_f369cb89fc,86.9,refresh_priority_1,declining_page1_review,1.6,789,20,0.0
content_6430c384931f,client_f369cb89fc,86.8,refresh_priority_1,declining_page1_review,2.9,366,20,0.0
content_a2d394e98056,client_4e07408562,86.7,refresh_priority_1,declining_page1_review,9.4,1220,104,0.0
content_55a771b611af,client_d029fa3a95,86.6,refresh_priority_1,declining_page1_review,6.7,681,20,0.0
content_ccf887ee3581,client_4e07408562,86.5,refresh_priority_1,declining_page1_review,5.5,2993,104,0.03
content_1b8dee993cc2,client_d029fa3a95,86.5,refresh_priority_1,declining_page1_review,8.9,239,8,0.0
content_d225ec9f3d46,client_f369cb89fc,86.5,refresh_priority_1,declining_page1_review,0.7,26470,20,0.05
content_37bb865c7f2f,client_f369cb89fc,86.4,refresh_priority_1,declining_page1_review,5.7,1112,20,0.0
content_e62e5fe2acbd,client_d029fa3a95,86.4,refresh_review,declining_review,10.4,709,20,0.0
content_f6ae0f36d70d,client_f369cb89fc,86.4,refresh_priority_1,declining_page1_review,9.0,44860,20,0.02
content_8c5405b0ce59,client_f369cb89fc,86.4,refresh_priority_1,declining_page1_review,9.1,1141,8,0.0
content_5240ab05dc75,client_4e07408562,86.4,refresh_priority_1,declining_page1_review,2.6,3298,7,0.03
content_7e37aba82d33,client_d029fa3a95,86.4,refresh_priority_1,declining_page1_review,9.0,874,8,0.0
content_e988c1699454,client_8527a891e2,86.4,refresh_review,declining_review,21.5,2197,104,0.0
content_7caef6b6a306,client_d029fa3a95,86.2,refresh_priority_1,declining_page1_review,5.9,6594,20,0.0
content_2ea7554a4b89,client_4e07408562,86.2,refresh_priority_1,declining_page1_review,6.0,5156,7,0.0
content_b08562686d22,client_f369cb89fc,86.0,refresh_priority_1,declining_page1_review,2.0,2846,106,0.14
content_1d2233dc3323,client_f369cb89fc,85.9,refresh_priority_1,declining_page1_review,1.5,1463,8,0.0
content_4852b7840db7,client_d029fa3a95,85.8,refresh_priority_1,declining_page1_review,6.8,605,20,0.0
content_8433aa043b94,client_d029fa3a95,85.8,refresh_priority_1,declining_page1_review,9.1,189,20,0.0
content_5de9a15b932c,client_d029fa3a95,85.7,refresh_priority_1,declining_page1_review,6.8,323,20,0.0
content_f9bb6357fd28,client_d029fa3a95,85.7,refresh_priority_1,declining_page1_review,6.9,2275,8,0.09
content_9983d31c53cb,client_4e07408562,85.7,refresh_priority_1,declining_page1_review,5.5,7737,7,0.0
content_ea41fe5cf292,client_d029fa3a95,85.7,refresh_priority_1,declining_page1_review,8.0,265,183,0.0
content_b1012a045720,client_f369cb89fc,85.7,refresh_priority_1,declining_page1_review,6.2,2986,8,0.03
content_f2508318df4b,client_f369cb89fc,85.6,refresh_priority_1,declining_page1_review,3.1,2831,8,0.0
content_b872486bfd10,client_f369cb89fc,85.6,refresh_priority_1,declining_page1_review,2.3,4696,20,0.04
content_a53d1c4231b3,client_d029fa3a95,85.6,refresh_review,declining_review,12.4,740,20,0.0
content_8a80aa1c39c4,client_d029fa3a95,85.5,refresh_priority_1,declining_page1_review,8.2,528,20,0.0
content_557976e65608,client_f369cb89fc,85.5,refresh_priority_1,declining_page1_review,3.4,4321,8,0.07
content_b7ad90f97e21,client_f369cb89fc,85.5,refresh_priority_1,declining_page1_review,5.4,581,8,0.0
content_3918aaea55e2,client_8b940be7fb,85.5,refresh_review,declining_review,14.0,1683,20,0.18
content_85925d6c92b8,client_f369cb89fc,85.4,refresh_priority_1,declining_page1_review,9.6,2049,8,0.0
content_3de6ff7e4a8d,client_d029fa3a95,85.3,refresh_priority_1,declining_page1_review,7.0,462,20,0.0
content_f155a0aa9e9e,client_434c9b5ae5,85.3,refresh_priority_1,declining_page1_review,7.1,2302,89,0.0
content_bb55d0dab9d9,client_f369cb89fc,85.3,refresh_priority_1,declining_page1_review,10.0,1502,20,0.07
content_7a999bea6a06,client_4e07408562,85.2,refresh_priority_1,declining_page1_review,8.8,3026,13,0.07
content_3324bf432188,client_d029fa3a95,85.2,refresh_priority_1,declining_page1_review,8.5,594,20,0.0
content_b5716f2631dc,client_f369cb89fc,85.1,refresh_priority_1,declining_page1_review,4.0,11882,20,0.03
content_66b56802c5e4,client_d029fa3a95,85.1,refresh_priority_1,declining_page1_review,4.2,350,20,0.0
content_f4d5f9725642,client_d029fa3a95,85.1,refresh_priority_1,declining_page1_review,8.5,582,20,0.0
content_7a69792f4c29,client_d029fa3a95,85.0,refresh_review,declining_review,10.3,257,20,0.0
content_7422ecda04a6,client_f369cb89fc,85.0,refresh_priority_1,declining_page1_review,2.8,2046,8,0.05
content_f6bf66378677,client_f369cb89fc,85.0,refresh_priority_1,declining_page1_review,5.7,817,20,0.0
content_e0666cdbf9c3,client_4e07408562,84.8,refresh_priority_1,declining_page1_review,9.6,5173,14,0.06
content_452a4e18212c,client_f369cb89fc,84.8,refresh_review,declining_review,24.2,2243,106,0.04
content_c500f6047687,client_d029fa3a95,84.8,refresh_priority_1,declining_page1_review,8.4,953,20,0.0
content_4984e596d230,client_d029fa3a95,84.7,refresh_priority_1,declining_page1_review,9.0,453,20,0.0
content_4fc70e470460,client_4e07408562,84.7,refresh_priority_1,declining_page1_review,5.7,766,104,0.0
content_5d926837293e,client_f369cb89fc,84.7,refresh_priority_1,declining_page1_review,4.0,2916,8,0.07
content_d831e97bab46,client_4e07408562,84.6,refresh_priority_1,declining_page1_review,6.1,1360,104,0.0
content_66458ac1b739,client_8527a891e2,84.5,refresh_priority_1,declining_page1_review,2.9,6822,102,0.03
content_4949d6107538,client_f369cb89fc,84.5,refresh_priority_1,declining_page1_review,1.9,5105,8,0.06
content_392ed6711025,client_4e07408562,84.4,refresh_review,declining_review,11.9,2014,7,0.0
content_d38581402cd5,client_f369cb89fc,84.4,refresh_review,declining_review,15.2,1299,20,0.0
content_2b954018dfe0,client_d029fa3a95,84.4,refresh_priority_1,declining_page1_review,6.4,738,20,0.14
content_9b28cf5ae4f3,client_f369cb89fc,84.4,refresh_priority_1,declining_page1_review,1.1,1620,106,0.06
content_72a51b4538b7,client_f369cb89fc,84.3,refresh_review,declining_review,12.0,2628,20,0.04
content_6b09c696507d,client_f369cb89fc,84.3,refresh_priority_1,declining_page1_review,0.8,2813,8,0.04
content_84efdfe29834,client_d029fa3a95,84.3,refresh_priority_1,declining_page1_review,10.0,330,20,0.0
content_08038bd6b9b0,client_4e07408562,84.2,refresh_review,declining_review,12.7,4018,25,0.0
content_e26959d7dd4b,client_f369cb89fc,84.2,refresh_priority_1,declining_page1_review,8.5,2267,8,0.04
content_c566c497902e,client_d029fa3a95,84.2,refresh_priority_1,declining_page1_review,7.9,388,20,0.0
content_b7e40e559702,client_d029fa3a95,84.2,refresh_priority_1,declining_page1_review,6.1,1492,20,0.07
content_d73b842a64e6,client_f369cb89fc,84.2,refresh_priority_1,declining_page1_review,4.7,4660,8,0.11
content_3dc2aa4e01dc,client_d029fa3a95,84.2,refresh_priority_1,declining_page1_review,8.0,304,20,0.0
content_61ec52007f84,client_f369cb89fc,84.1,refresh_priority_1,declining_page1_review,5.1,15214,20,0.09
content_b03ea7190aea,client_f369cb89fc,84.1,refresh_priority_1,declining_page1_review,2.6,1508,8,0.0
content_829c68e60d13,client_f369cb89fc,84.1,refresh_priority_1,declining_page1_review,4.9,307,106,0.0
content_d86bc0c51b88,client_d029fa3a95,84.1,refresh_priority_1,declining_page1_review,7.0,414,20,0.0
content_179caec11499,client_f369cb89fc,84.1,refresh_review,declining_review,16.1,17217,20,0.03
content_e0d734ee281e,client_d029fa3a95,84.1,refresh_priority_1,declining_page1_review,5.7,499,8,0.0
content_8b2adc2bb561,client_d029fa3a95,84.0,refresh_priority_1,declining_page1_review,8.2,222,8,0.0
content_a1dfb0636e9c,client_8527a891e2,84.0,refresh_review,declining_review,14.9,618,104,0.0
content_33adb9b7c91d,client_f369cb89fc,84.0,refresh_review,declining_review,12.5,2493,8,0.08
content_31083b832aa0,client_f369cb89fc,84.0,refresh_priority_1,declining_page1_review,5.9,417,20,0.0
content_39c0cb7f2bbd,client_d029fa3a95,83.9,refresh_priority_1,declining_page1_review,9.7,1510,8,0.0
content_03da7338b27f,client_f369cb89fc,83.9,refresh_review,declining_review,19.5,2612,20,0.0
content_c5baaa65d5cc,client_f369cb89fc,83.8,refresh_priority_1,declining_page1_review,5.2,435,20,0.0
content_03d074e8f486,client_f369cb89fc,83.8,refresh_priority_1,declining_page1_review,6.9,6582,20,0.03
content_f9c40e2ab163,client_f369cb89fc,83.8,refresh_priority_1,declining_page1_review,6.1,8306,20,0.07
content_a31cad37ea8a,client_8b940be7fb,83.7,refresh_priority_1,declining_page1_review,5.9,6058,20,0.76
content_1ec660df5cc3,client_d029fa3a95,83.7,refresh_priority_1,declining_page1_review,4.2,717,20,0.14
content_90d5f9ecb7a9,client_4e07408562,83.7,refresh_priority_1,declining_page1_review,9.4,3978,7,0.0
content_2489ce211d9a,client_d029fa3a95,83.7,refresh_priority_1,declining_page1_review,2.8,260,20,0.0
content_a91a5804588e,client_d029fa3a95,83.7,refresh_priority_1,declining_page1_review,9.0,491,8,0.0
content_79523354f68c,client_f369cb89fc,83.7,refresh_priority_1,declining_page1_review,4.4,3708,8,0.03
content_0b47dae0c7f9,client_8527a891e2,83.6,refresh_review,declining_review,23.1,1191,103,0.0
content_7205560591f9,client_4e07408562,83.6,refresh_review,declining_review,17.6,2329,13,0.0
content_fa177401b553,client_d029fa3a95,83.5,refresh_review,declining_review,17.2,624,8,0.0
content_966912f7c190,client_f369cb89fc,83.5,refresh_review,declining_review,10.3,4114,8,0.12
content_5e2d7ea6844d,client_f369cb89fc,83.5,refresh_priority_1,declining_page1_review,5.2,4651,20,0.06
content_731c9f3acbcb,client_d029fa3a95,83.5,refresh_priority_1,declining_page1_review,7.6,394,20,0.0
content_d23ae29575ef,client_4e07408562,83.5,refresh_priority_1,declining_page1_review,5.3,983,104,0.0
content_d274ac4158ef,client_4e07408562,83.4,refresh_priority_1,declining_page1_review,6.8,65138,26,0.01
content_04c19423dab6,client_8b940be7fb,83.4,refresh_priority_1,declining_page1_review,4.3,8310,20,0.99
content_eb3b2c3bbc34,client_f369cb89fc,83.3,refresh_priority_1,declining_page1_review,1.3,580,20,0.0
content_50e211c8623a,client_f369cb89fc,83.3,refresh_priority_1,declining_page1_review,9.8,2872,20,0.03
content_3b26815717ae,client_f369cb89fc,83.2,refresh_review,declining_review,28.5,4650,20,0.09
content_1257d3710fed,client_d029fa3a95,83.2,refresh_priority_1,declining_page1_review,7.3,524,20,0.19
content_dc1490cb87df,client_d029fa3a95,83.2,refresh_priority_1,declining_page1_review,7.0,578,20,0.0
content_2dbab51b83c9,client_d029fa3a95,83.2,refresh_priority_1,declining_page1_review,9.1,781,20,0.0
content_027b11527f4c,client_d029fa3a95,83.2,refresh_priority_1,declining_page1_review,7.9,915,20,0.0
content_94c5843bbee4,client_d029fa3a95,83.1,refresh_priority_1,declining_page1_review,7.4,268,20,0.0
content_d4084a4bc775,client_f369cb89fc,83.1,refresh_priority_1,declining_page1_review,8.5,3970,20,0.03
content_8ba922f82ace,client_4e07408562,83.1,refresh_review,declining_review,14.5,2698,13,0.0
content_0c8cb6bad4a7,client_f369cb89fc,83.0,refresh_priority_1,declining_page1_review,2.0,502,20,0.0
content_47d2fed41749,client_d029fa3a95,83.0,refresh_priority_1,declining_page1_review,7.4,519,20,0.0
content_8e50b81ff9fb,client_d029fa3a95,83.0,refresh_priority_1,declining_page1_review,6.4,397,8,0.25
content_a2bcb8df0fc3,client_f369cb89fc,82.9,refresh_priority_1,declining_page1_review,2.4,2843,8,0.04
content_f79387f83703,client_d029fa3a95,82.9,refresh_review,declining_review,12.4,1945,20,0.15
content_e1aacafc8b8c,client_434c9b5ae5,82.9,refresh_priority_1,declining_page1_review,8.4,927,20,0.0
content_5d8cc9246c52,client_4e07408562,82.8,refresh_priority_1,declining_page1_review,3.3,547,104,0.0
content_c5a22862db5f,client_4e07408562,82.7,refresh_priority_1,declining_page1_review,4.0,6329,7,0.05
content_681a43300b4f,client_f369cb89fc,82.7,refresh_priority_1,declining_page1_review,7.1,8703,20,0.1
content_dce9528e18b1,client_4e07408562,82.7,refresh_priority_1,declining_page1_review,3.1,2519,7,0.0
content_412f4cf7d443,client_f369cb89fc,82.6,refresh_review,declining_review,18.6,27793,8,0.01
content_f4189b5da579,client_f369cb89fc,82.6,refresh_priority_1,declining_page1_review,6.6,3987,20,0.08
content_91307f62115f,client_d029fa3a95,82.6,refresh_priority_1,declining_page1_review,4.3,441,20,0.0
content_6abe54161f91,client_d029fa3a95,82.6,refresh_priority_1,declining_page1_review,9.0,579,20,0.0
content_7b7226ed26a3,client_f369cb89fc,82.6,refresh_priority_1,declining_page1_review,0.8,2918,8,0.1
content_b44c8a223ccb,client_d029fa3a95,82.6,refresh_priority_1,declining_page1_review,8.1,413,20,0.0
content_7e24f3b27d73,client_8527a891e2,82.5,refresh_review,declining_review,11.6,825,104,0.0
content_d10d476fbfa5,client_f369cb89fc,82.5,refresh_priority_1,declining_page1_review,4.8,1113,20,0.0
content_323d0bdf7077,client_f369cb89fc,82.5,refresh_priority_1,declining_page1_review,4.6,2018,106,0.05
content_684a74eddb5a,client_f369cb89fc,82.4,refresh_review,declining_review,10.7,1820,20,0.11
content_df1e8cee858c,client_f369cb89fc,82.4,refresh_priority_1,declining_page1_review,4.9,9188,106,0.09
content_d2bd69754c35,client_d029fa3a95,82.4,refresh_review,declining_review,12.0,2007,8,0.1
content_a156b2401eaa,client_d029fa3a95,82.4,refresh_review,declining_review,38.9,1244,20,0.08
content_e9b321ed8054,client_d029fa3a95,82.4,refresh_priority_1,declining_page1_review,7.7,1482,8,0.07
content_0797b2065787,client_f369cb89fc,82.4,refresh_priority_1,declining_page1_review,6.5,3335,8,0.06
content_f73cc75941bc,client_d029fa3a95,82.4,refresh_priority_1,declining_page1_review,6.5,278,20,0.0
content_edf5b03b36aa,client_f369cb89fc,82.4,refresh_priority_1,declining_page1_review,3.1,535,20,0.0
content_96ff7449bc47,client_d029fa3a95,82.4,refresh_review,declining_review,11.5,423,8,0.0
content_34f7369c0fe6,client_f369cb89fc,82.3,refresh_review,declining_review,13.5,1349,20,0.07
content_be26cd27c4fd,client_f369cb89fc,82.3,refresh_priority_1,declining_page1_review,7.9,556,20,0.0
content_3574a4e2ec88,client_f369cb89fc,82.3,refresh_priority_1,declining_page1_review,5.9,2545,8,0.04
content_2ae8fb1778c0,client_d029fa3a95,82.3,refresh_review,declining_review,11.4,391,20,0.0
content_62653d10cc38,client_f369cb89fc,82.3,refresh_priority_1,declining_page1_review,8.3,3484,20,0.09
content_643b51c0a848,client_8527a891e2,82.2,refresh_review,declining_review,15.1,890,98,0.0
content_d8992865e6a5,client_8b940be7fb,82.2,refresh_priority_1,declining_page1_review,5.5,5597,20,0.43
content_9ed5aeec3224,client_d029fa3a95,82.2,refresh_review,declining_review,12.0,441,8,0.0
content_a5a5392242a4,client_4e07408562,82.2,refresh_priority_1,declining_page1_review,6.1,3997,7,0.08
content_700de55b1459,client_4e07408562,82.2,refresh_review,declining_review,14.5,1258,104,0.0
content_9e8671965fff,client_f369cb89fc,82.1,refresh_priority_1,declining_page1_review,2.3,1322,20,0.08
content_29884c0f9255,client_8527a891e2,82.1,refresh_review,declining_review,12.3,428,102,0.0
content_572a1b3ea1a8,client_d029fa3a95,82.1,refresh_priority_1,declining_page1_review,4.6,493,20,0.0
content_28e173a39dd5,client_d029fa3a95,82.1,refresh_review,declining_review,26.9,917,8,0.0
content_e377739a982d,client_f369cb89fc,82.1,refresh_priority_1,declining_page1_review,1.5,83,20,0.0
content_c84a0ab98e90,client_f369cb89fc,82.1,refresh_priority_1,declining_page1_review,7.8,223271,20,0.03
content_cb385644ae55,client_434c9b5ae5,82.1,refresh_priority_1,declining_page1_review,7.5,427,89,0.0
content_57717855f528,client_d029fa3a95,82.0,refresh_priority_1,declining_page1_review,4.2,287,20,0.0
content_81302b9ba806,client_f369cb89fc,82.0,refresh_priority_1,declining_page1_review,3.5,7435,20,0.13
content_3caffc05c7f0,client_4e07408562,82.0,refresh_priority_1,declining_page1_review,2.0,9220,7,0.08
content_483f5d0b409c,client_4e07408562,82.0,refresh_review,declining_review,13.9,1442,14,0.0
content_3b25b95df47a,client_4e07408562,81.9,refresh_priority_1,declining_page1_review,7.3,9211,25,0.03
content_12d396d8e567,client_d029fa3a95,81.9,refresh_priority_1,declining_page1_review,4.5,625,20,0.16
content_d52b63d00e6f,client_d029fa3a95,81.9,refresh_priority_1,declining_page1_review,6.3,467,20,0.21
content_0022a6b4290f,client_f369cb89fc,81.9,refresh_priority_1,declining_page1_review,1.2,29747,20,0.07
content_76189a98416b,client_f369cb89fc,81.8,refresh_review,declining_review,11.7,1647,20,0.0
content_0e1baeb3ecca,client_4e07408562,81.7,refresh_priority_1,declining_page1_review,3.5,1560,7,0.06
content_111c744b39f7,client_f369cb89fc,81.7,refresh_review,declining_review,11.1,3813,8,0.08
content_4b40bc3fc714,client_bdd2d3af3a,81.7,refresh_priority_1,declining_page1_review,7.0,548,8,0.0
content_7b54c38ece10,client_d029fa3a95,81.7,refresh_priority_1,declining_page1_review,7.8,252,8,0.0
content_e7596fea954a,client_8527a891e2,81.7,refresh_priority_1,declining_page1_review,8.3,8037,104,0.04
content_cdbb1ac6c290,client_d029fa3a95,81.7,refresh_priority_1,declining_page1_review,8.5,282,20,0.0
content_424ff4ad540a,client_f369cb89fc,81.6,refresh_priority_1,declining_page1_review,4.6,90,20,0.0
content_dcfa75a19a07,client_d029fa3a95,81.6,refresh_priority_1,declining_page1_review,6.3,241,8,0.0
content_b35afe144d55,client_d029fa3a95,81.6,refresh_priority_1,declining_page1_review,8.2,215,20,0.0
content_abef99f293a8,client_f369cb89fc,81.6,refresh_review,declining_review,13.6,1310,20,0.0
content_5bfda3888862,client_8b940be7fb,81.5,refresh_priority_1,declining_page1_review,4.1,10446,20,0.46
content_958a46db26bd,client_d029fa3a95,81.4,refresh_priority_1,declining_page1_review,6.7,198,183,0.0
content_b84cb2300d9d,client_f369cb89fc,81.4,refresh_priority_1,declining_page1_review,6.0,388,106,0.0
content_7da19205e900,client_d029fa3a95,81.4,refresh_priority_1,declining_page1_review,6.2,285,20,0.0
content_27feafd70f41,client_d029fa3a95,81.4,refresh_priority_1,declining_page1_review,7.2,158,20,0.0
content_b818717356ef,client_d029fa3a95,81.4,refresh_priority_1,declining_page1_review,7.5,320,20,0.0
content_6cc2663a00ec,client_f369cb89fc,81.4,refresh_priority_1,declining_page1_review,2.0,3273,8,0.09
content_e22233a65377,client_d029fa3a95,81.4,refresh_review,declining_review,15.1,7094,20,0.04
content_bf313c86ff6b,client_f369cb89fc,81.3,refresh_priority_1,declining_page1_review,10.0,442,20,0.0
content_619acf4bbcc3,client_d029fa3a95,81.3,refresh_priority_1,declining_page1_review,7.2,181,8,0.0
content_3f87780cea1a,client_d029fa3a95,81.3,refresh_priority_1,declining_page1_review,8.4,157,20,0.0
content_b287e08d7dcf,client_d029fa3a95,81.3,refresh_review,declining_review,13.1,304,20,0.0
content_76d1deafc71b,client_f369cb89fc,81.3,refresh_priority_1,declining_page1_review,7.8,236,20,0.0
content_41e79436cdff,client_4e07408562,81.3,refresh_priority_1,declining_page1_review,7.9,8044,20,0.04
content_e3c6836b5dda,client_8527a891e2,81.2,refresh_review,declining_review,22.3,1669,104,0.06
content_a025f0314b16,client_4e07408562,81.2,refresh_review,declining_review,21.2,5028,14,0.02
content_e7da1d48ad15,client_d029fa3a95,81.2,refresh_priority_1,declining_page1_review,5.4,448,20,0.0
content_c50328b4ce10,client_d029fa3a95,81.2,refresh_priority_1,declining_page1_review,8.2,428,20,0.0
content_10c16c9b435a,client_f369cb89fc,81.2,refresh_priority_1,declining_page1_review,7.3,2558,8,0.12
content_25ca73944527,client_8b940be7fb,81.2,refresh_priority_1,declining_page1_review,6.4,3837,20,0.5
content_637107baa450,client_f369cb89fc,81.2,refresh_priority_1,declining_page1_review,0.7,2495,8,0.04
content_0cd0e0126762,client_d029fa3a95,81.2,refresh_priority_1,declining_page1_review,6.4,483,20,0.21
content_3065f33223c3,client_d029fa3a95,81.1,refresh_priority_1,declining_page1_review,6.2,282,20,0.0
content_f333af2b3dff,client_d029fa3a95,81.1,refresh_review,declining_review,28.8,432,20,0.0
content_ea27349a124e,client_d029fa3a95,81.1,refresh_review,declining_review,13.0,460,20,0.0
content_16a73fa3a0e3,client_4e07408562,81.1,refresh_priority_1,declining_page1_review,4.6,757,104,0.0
content_1d637966d2d2,client_4e07408562,81.1,refresh_priority_1,declining_page1_review,8.1,3517,20,0.06
content_40f90a05c8c1,client_8b940be7fb,81.0,refresh_priority_1,declining_page1_review,9.7,929,20,0.32
content_d248f78edf97,client_f369cb89fc,81.0,refresh_priority_1,declining_page1_review,7.7,967,20,0.0
content_a32e98e7adff,client_d029fa3a95,81.0,refresh_priority_1,declining_page1_review,3.0,229,20,0.0
content_06b9fe7fa146,client_4e07408562,81.0,refresh_review,declining_review,11.4,1023,7,0.0
content_a662ef2af9b4,client_8527a891e2,81.0,refresh_review,declining_review,16.0,542,104,0.0
